text_a	label
1 . 计 算 机 基 础 扎 实 ， 熟 悉 T C P / I P 和 H T T P 等 常 见 网 络 协 议 ； 2 . 精 通 C / G o 等 编 程 语 言 ， 有 相 关 大 型 项 目 开 发 经 验 ； 3 . 对 技 术 有 激 情 ， 喜 欢 钻 研 ， 良 好 的 学 习 能 力 和 解 决 问 题 的 能 力 ； 4 . 良 好 的 表 达 、 组 织 、 沟 通 和 协 作 能 力 ； 5 . 有 高 性 能 网 关 开 发 经 验 、 F W / I P S / I D S / N D R 等 网 络 安 全 开 发 经 验 者 优 先 ；	O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O B-自学能力 I-自学能力 O O O O O O O O O B-自学能力 I-自学能力 I-自学能力 I-自学能力 O B-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 O O O O O O B-口头表达能力 I-口头表达能力 O B-领导力 I-领导力 O B-人际交往能力 I-人际交往能力 O B-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O
1 . 计 算 机 和 电 子 工 程 等 相 关 专 业 2 . 熟 悉 计 算 机 体 系 结 构 , 流 水 线 结 构 3 . 熟 悉 M e m o r y M o d e l ， 熟 悉 缓 存 系 统 和 缓 存 一 致 性 协 议 4 . C + + / S y s t e m C ， p y t h o n 编 程 能 力 岗 位 加 分 ： 1 . 对 P C I E / D D R 等 S O C 模 块 架 构 有 深 度 的 理 解 2 . 有 性 能 模 型 的 建 模 经 验 3 . 有 大 型 S O C 性 能 调 优 经 验	O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力
1 、 C S / E E 相 关 领 域 毕 业 ， 3 年 工 作 经 验 ( A M a s t e r s o r h i g h e r d e g r e e i n C o m p u t e r E n g i n e e r i n g , C o m p u t e r S c i e n c e , A p p l i e d M a t h e m a t i c s o r r e l a t e d c o m p u t i n g f o c u s e d d e g r e e ( o r e q u i v a l e n t e x p e r i e n c e ) , 3 + y e a r s o f r e l e v a n t s o f t w a r e d e v e l o p m e n t e x p e r i e n c e ) 2 、 熟 悉 C / C + + 编 程 （ E x c e l l e n t C / C + + p r o g r a m m i n g a n d s o f t w a r e d e s i g n s k i l l s , i n c l u d i n g d e b u g g i n g , p e r f o r m a n c e a n a l y s i s , a n d t e s t d e s i g n ） . 3 、 对 A I 相 关 技 术 有 强 烈 兴 趣 并 至 少 熟 悉 一 种 主 流 框 架 （ S t r o n g i n t e r e s t i n a r t i f i c i a l i n t e l l i g e n c e a n d c o m p u t e r v i s i o n , a w a r e n e s s o f l a t e s t d e v e l o p m e n t s i n d e e p l e a r n i n g ， E x p e r i e n c e w o r k i n g w i t h d e e p l e a r n i n g f r a m e w o r k s l i k e C a f f e , T e n s o r F l o w a n d P y T o r c h ） 4 、 有 较 强 的 技 术 热 情 ， 自 我 驱 动 （ P r o a c t i v e a n d a b l e t o w o r k w i t h o u t s u p e r v i s i o n ） 5 、 具 备 下 述 条 件 优 先 ： a ) 熟 悉 C P U / G P U 架 构 并 有 深 度 学 习 系 统 研 发 经 验 （ P r i o r e x p e r i e n c e w i t h p e r f o r m a n c e m o d e l l i n g , p r o f i l i n g , a n d c o d e o p t i m i z a t i o n i n D L ） b ) 熟 悉 T e n s o r R T 、 M L I R 并 跟 踪 行 业 技 术 趋 势 （ E x p e r i e n c e o n T e n s o r R T o r M L I R i s h i g h l y p r e f e r r e d ） c ) 对 并 行 计 算 领 域 的 编 程 范 式 和 优 化 技 术 等 有 自 己 的 观 点 和 主 张 （ I n s i g h t s o n p a r a l l e l c o m p u t i n g p a r a d i g m a n d t h e t r e n d s ）	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-自学能力 I-自学能力 I-自学能力 I-自学能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-自学能力 I-自学能力 I-自学能力 I-自学能力 O B-自学能力 I-自学能力 I-自学能力 I-自学能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1 、 计 算 机 、 数 学 、 统 计 学 等 相 关 专 业 ； 2 、 算 法 基 础 知 识 扎 实 ， 有 搜 索 、 推 荐 、 广 告 等 大 型 项 目 经 验 ， 参 与 过 实 际 的 大 型 机 器 学 习 项 目 ， 有 丰 富 的 业 务 落 地 经 验 的 优 先 ； 3 、 工 作 经 验 5 年 以 上 ， 熟 练 掌 握 至 少 一 门 编 程 语 言 （ J a v a / P y t h o n ） ， 有 大 数 据 处 理 经 验 优 先 ； 4 、 具 备 优 秀 的 逻 辑 思 维 能 力 ， 有 强 烈 的 求 知 欲 、 好 奇 心 ， 能 关 注 和 学 习 业 界 先 进 技 术 ， 有 论 文 发 表 在 国 际 会 议 、 期 刊 者 优 先 ； 5 、 良 好 的 团 队 合 作 精 神 和 沟 通 能 力 。	O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O O O O O O O O O O O O O O O O O O O O B-分析能力 I-分析能力 I-分析能力 I-分析能力 I-分析能力 I-分析能力 O O O O O B-创新能力 I-创新能力 I-创新能力 O B-创新能力 I-创新能力 I-创新能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 O B-人际交往能力 I-人际交往能力 I-人际交往能力 I-人际交往能力 O
1 . 计 算 机 相 关 专 业 ， 本 科 及 以 上 学 历 , 5 年 以 上 相 关 工 作 经 验 ； 2 . 熟 练 掌 握 A n d r o i d / L i n u x 开 发 环 境 ， 掌 握 多 种 操 作 系 统 相 关 的 跟 踪 、 调 试 与 诊 断 的 工 具 与 技 术 ， 具 备 内 核 调 优 能 力 ， 针 对 体 系 架 构 差 异 开 展 相 关 的 性 能 调 优 工 作 ； 3 . 对 A n d r o i d F r a m e w o r k 和 H A L 有 清 晰 的 整 体 性 理 解 ， 包 括 其 与 上 层 应 用 、 底 层 驱 动 、 安 全 操 作 系 统 的 相 关 接 口 与 实 现 ; 4 . 具 备 全 栈 系 统 设 计 、 开 发 能 力 ， 精 通 C / C + + 语 言 ， 精 通 各 种 设 计 模 式 ， 多 线 程 技 术 有 较 深 入 ； 5 . 有 完 整 A n d r o i d 产 品 相 关 认 证 经 验 和 底 层 驱 动 开 发 经 验 优 先 ； 6 . 有 独 立 工 作 的 能 力 ， 同 时 具 有 很 好 的 团 队 协 作 能 力 与 沟 通 能 力 。 拥 有 嵌 入 式 研 发 工 作 激 情 ， 对 技 术 执 着 ， 追 求 卓 越 品 质 7 . 精 通 以 下 业 务 方 向 之 一 ： 一 ) 图 形 显 示 系 统 ： 1 ) 熟 悉 A n d r o i d 图 形 架 构 ， 掌 握 S u r f a c e F l i n g e r 、 D R M / K M S 、 O p e n G L E S 、 V u l k a n 、 N e u r a l N e t w o r k , G r a l l o c , H a r d w a r e C o m p o s e r 的 中 间 件 和 H A L 设 计 和 实 现 2 ) 有 相 关 图 形 显 示 性 能 优 化 经 验 ， 或 者 底 层 驱 动 开 发 经 验 优 先 。 二 ) 多 媒 体 系 统 ： 1 ) 熟 悉 A n d r o i d 多 媒 体 系 统 A u d i o , C a m e r a , A u d i o / V i d e o D e c o d e r & E n c o d e r 等 相 关 H A L 设 计 和 实 现 2 ) 有 O p e n M A X I L 或 者 c o d e c 2 相 关 开 发 经 验 优 先 三 ) 安 全 和 启 动 系 统 ： 1 ) 熟 悉 A n d r o i d 系 统 k e y m a s t e r ， g a t e k e e p e r ， d m - v e r i t y ， A V B ， b o o t c t r l 等 相 关 安 全 模 块 和 H A L 的 设 计 和 开 发 ； 2 ) 有 相 关 S e c u r i t y O S 功 能 实 现 经 验 优 先 四 ) 编 译 及 C P U 架 构 支 持 系 统 ： 1 ) 熟 悉 A n d r o i d 系 统 编 译 系 统 ， 对 A R M ， M I P S 或 者 R I S C - V 相 关 指 令 架 构 在 A n d r o i d 移 植 工 作 有 深 入 了 解 ； 2 ) 有 多 个 A n d r o i d 版 本 升 级 经 验 优 先 。	O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 I-计算机与互联网应用能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 O O O O O O O O B-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 O B-人际交往能力 I-人际交往能力 I-人际交往能力 I-人际交往能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1 . 三 年 以 上 开 发 经 验 ， 编 程 语 言 能 熟 练 运 用 J a v a 或 者 G o l a n g 2 . 熟 悉 分 布 式 系 统 的 设 计 和 应 用 ， 熟 悉 多 线 程 、 缓 存 、 消 息 等 机 制 ， 深 入 理 解 T C P / I P ， H T T P 等 常 见 协 议 ， 有 较 强 的 网 络 编 程 能 力 ， 了 解 微 服 务 架 构 ； 3 . 有 较 强 的 分 析 问 题 和 解 决 问 题 的 能 力 ； 4 . 有 较 好 的 沟 通 协 作 能 力 ； 5 . 有 大 规 模 高 并 发 访 问 的 架 构 设 计 和 开 发 经 验 者 优 先 ； 6 . 有 应 用 阿 里 云 产 品 开 发 经 验 、 d o c k e r 、 K 8 S 容 器 服 务 开 发 经 验 优 先 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-分析能力 I-分析能力 I-分析能力 I-分析能力 O B-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 I-问题解决能力 O O O O O O O B-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 I-团队协作能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
此 岗 位 为 数 据 库 团 队 统 一 投 递 入 口 ， 欢 迎 以 下 方 向 （ 不 限 于 ） 人 才 交 流 ： 分 布 式 数 据 库 云 原 生 数 据 库 N o S Q L 数 据 库 数 据 库 优 化 器 数 据 库 工 具 ： 如 数 据 传 输 ， 数 据 管 理 ， 数 据 备 份 等 开 源 数 据 库 产 品 经 理 与 产 品 运 营 解 决 方 案 与 专 家 服 务 通 过 阿 里 云 数 据 库 A C A 或 A C P 认 证 者 优 先 考 虑 。	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1 . 计 算 机 或 相 关 专 业 ， 5 年 以 上 工 作 经 验 ； 2 . 重 视 代 码 规 范 ， 熟 悉 A n d r o i d 系 统 架 构 及 相 关 技 术 、 精 通 A n d r o i d 平 台 U I 设 计 ； 3 . 对 网 络 编 程 、 多 线 程 、 设 计 模 式 、 高 可 用 程 序 架 构 等 有 深 入 的 理 解 4 . 理 解 A n d r o i d 开 源 代 码 的 结 构 和 核 心 底 层 库 ， 对 A n d r o i d 底 层 接 口 有 一 定 的 认 识 ; 5 . 熟 悉 A n d r o i d F r a m e w o r k 层 ， 并 有 一 定 A n d r o i d 源 码 阅 读 经 验 ， 有 带 队 能 力 者 优 先 ； 6 . 有 主 导 大 型 A n d r o i d 应 用 程 序 设 计 开 发 及 重 构 经 验 及 F l u t t e r 开 发 经 验 优 先 ；	O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1 . 有 不 错 的 问 题 定 位 能 力 ， 能 够 有 效 的 对 问 题 进 行 经 验 的 总 结 并 转 化 为 工 具 的 能 力 ； 2 . 有 三 年 以 上 机 器 学 习 和 深 度 学 习 算 法 经 验 ， 有 相 关 项 目 落 地 成 果 ； 3 . 聪 明 ， 学 习 能 力 强 ， 并 且 具 备 良 好 的 沟 通 能 力 ； 4 . 有 发 表 论 文 ， 或 者 有 A I O P S 经 验 者 优 先	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O B-自学能力 I-自学能力 O B-自学能力 I-自学能力 I-自学能力 I-自学能力 O O O O O O O O O B-人际交往能力 I-人际交往能力 I-人际交往能力 I-人际交往能力 O O O O O O O O O O O O O O O O O O O O O O
1 . 本 科 及 以 上 学 历 ， 计 算 机 相 关 专 业 ； 具 有 三 年 以 上 前 端 开 发 经 验 ； 2 . 精 通 J A V A S C R I P T / C S S / H T M L ， 熟 悉 W 3 C 规 范 、 E S 5 / E S 6 等 前 端 开 发 技 术 ； 3 . 熟 悉 R e a c t / V u e / A n g u l a r 中 一 种 框 架 ， 且 有 实 际 项 目 应 用 经 验 ， 具 备 独 立 项 目 开 发 能 力 ； 4 . 熟 悉 前 端 性 能 优 化 ， 熟 悉 使 用 C h r o m e / S a f a r i 等 前 端 调 试 工 具 ；	O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O B-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 I-专业或业务能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 I-实干与执行能力 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
